0.000000000000000000e+00 1.514979701085294810e-04 1.624103641708869714e-07 -2.161997731776337604e-06 9.999999885218321394e-01
1.000000000000000000e+00 1.514979701085294810e-04 1.624103641708869714e-07 -2.161997731776337604e-06 9.999999885218321394e-01
2.000000000000000000e+00 1.514979701085294810e-04 1.624103641708869714e-07 -2.161997731776337604e-06 9.999999885218321394e-01
3.000000000000000000e+00 1.514979701085294810e-04 1.624103641708869714e-07 -2.161997731776337604e-06 9.999999885218321394e-01
4.000000000000000000e+00 1.514979701085294810e-04 1.624103641708869714e-07 -2.161997731776337604e-06 9.999999885218321394e-01
5.000000000000000000e+00 1.514979701085294810e-04 1.624103641708869714e-07 -2.161997731776337604e-06 9.999999885218321394e-01
6.000000000000000000e+00 1.514979701085294810e-04 1.624103641708869714e-07 -2.161997731776337604e-06 9.999999885218321394e-01
7.000000000000000000e+00 1.514979701085294810e-04 1.624103641708869714e-07 -2.161997731776337604e-06 9.999999885218321394e-01
8.000000000000000000e+00 1.514979701085294810e-04 1.624103641708869714e-07 -2.161997731776337604e-06 9.999999885218321394e-01
9.000000000000000000e+00 1.514979701085294810e-04 1.624103641708869714e-07 -2.161997731776337604e-06 9.999999885218321394e-01
1.000000000000000000e+01 1.514979701085294810e-04 1.624103641708869714e-07 -2.161997731776337604e-06 9.999999885218321394e-01
1.100000000000000000e+01 1.511544980332495927e-04 1.621666012212796092e-07 -2.149236622295344900e-06 9.999999885733044103e-01
1.200000000000000000e+01 1.508110259579696774e-04 1.619228382716722733e-07 -2.136475512814351772e-06 9.999999886247766812e-01
1.300000000000000000e+01 1.504675538826897891e-04 1.616790753220649111e-07 -2.123714403333359068e-06 9.999999886762489520e-01
1.400000000000000000e+01 1.501240818074099008e-04 1.614353123724575488e-07 -2.110953293852365940e-06 9.999999887277212229e-01
1.500000000000000000e+01 1.497806097321300125e-04 1.611915494228502130e-07 -2.098192184371373236e-06 9.999999887791934938e-01
1.600000000000000000e+01 1.494371376568500972e-04 1.609477864732428507e-07 -2.085431074890380108e-06 9.999999888306657647e-01
1.700000000000000000e+01 1.490936655815702089e-04 1.607040235236354884e-07 -2.072669965409386981e-06 9.999999888821380356e-01
1.800000000000000000e+01 1.487501935062903206e-04 1.604602605740281261e-07 -2.059908855928394276e-06 9.999999889336103065e-01
1.900000000000000000e+01 1.484067214310104052e-04 1.602164976244207903e-07 -2.047147746447401572e-06 9.999999889850825774e-01
2.000000000000000000e+01 1.480632493557305170e-04 1.599727346748134280e-07 -2.034386636966408445e-06 9.999999890365548483e-01
2.100000000000000000e+01 1.474912687276144351e-04 1.596012542559911137e-07 -2.014914864770684888e-06 9.999999891196461599e-01
2.200000000000000000e+01 1.469192880994983261e-04 1.592297738371687995e-07 -1.995443092574961332e-06 9.999999892027373605e-01
2.300000000000000000e+01 1.463473074713822443e-04 1.588582934183464852e-07 -1.975971320379237352e-06 9.999999892858286721e-01
2.400000000000000000e+01 1.457753268432661353e-04 1.584868129995241709e-07 -1.956499548183513795e-06 9.999999893689199837e-01
2.500000000000000000e+01 1.452033462151500534e-04 1.581153325807018302e-07 -1.937027775987790239e-06 9.999999894520112953e-01
2.600000000000000000e+01 1.446313655870339716e-04 1.577438521618795159e-07 -1.917556003792066683e-06 9.999999895351024959e-01
2.700000000000000000e+01 1.440593849589178626e-04 1.573723717430572016e-07 -1.898084231596342914e-06 9.999999896181938075e-01
2.800000000000000000e+01 1.434874043308017807e-04 1.570008913242348873e-07 -1.878612459400619358e-06 9.999999897012851191e-01
2.900000000000000000e+01 1.429154237026856718e-04 1.566294109054125731e-07 -1.859140687204895590e-06 9.999999897843763197e-01
3.000000000000000000e+01 1.423434430745695899e-04 1.562579304865902588e-07 -1.839668915009172033e-06 9.999999898674676313e-01
3.100000000000000000e+01 1.416109957816303515e-04 1.558021038737387951e-07 -1.815889643878535021e-06 9.999999899690853455e-01
3.200000000000000000e+01 1.408785484886911402e-04 1.553462772608873579e-07 -1.792110372747897797e-06 9.999999900707029488e-01
3.300000000000000000e+01 1.401461011957519018e-04 1.548904506480358942e-07 -1.768331101617260784e-06 9.999999901723206630e-01
3.400000000000000000e+01 1.394136539028126905e-04 1.544346240351844305e-07 -1.744551830486623560e-06 9.999999902739382662e-01
3.500000000000000000e+01 1.386812066098734521e-04 1.539787974223329668e-07 -1.720772559355986548e-06 9.999999903755559805e-01
3.600000000000000000e+01 1.379487593169342408e-04 1.535229708094815296e-07 -1.696993288225349536e-06 9.999999904771736947e-01
3.700000000000000000e+01 1.372163120239950295e-04 1.530671441966300659e-07 -1.673214017094712523e-06 9.999999905787912979e-01
3.800000000000000000e+01 1.364838647310557911e-04 1.526113175837786022e-07 -1.649434745964075511e-06 9.999999906804090122e-01
3.900000000000000000e+01 1.357514174381165527e-04 1.521554909709271650e-07 -1.625655474833438287e-06 9.999999907820266154e-01
4.000000000000000000e+01 1.350189701451773414e-04 1.516996643580757013e-07 -1.601876203702801274e-06 9.999999908836443296e-01
4.100000000000000000e+01 1.341827366413475542e-04 1.511949329113548721e-07 -1.575788403142654517e-06 9.999999909930937791e-01
4.200000000000000000e+01 1.333465031375177942e-04 1.506902014646340164e-07 -1.549700602582507549e-06 9.999999911025431176e-01
4.300000000000000000e+01 1.325102696336880070e-04 1.501854700179131872e-07 -1.523612802022360792e-06 9.999999912119925671e-01
4.400000000000000000e+01 1.316740361298582198e-04 1.496807385711923315e-07 -1.497525001462214035e-06 9.999999913214419056e-01
