0.000000000000000000e+00 -2.711476970580119629e-07 1.013361948268035398e-02 5.494081697190844693e+01
1.000000000000000000e+00 -2.711476970580119629e-07 1.013361948268035398e-02 5.494081697190844693e+01
2.000000000000000000e+00 -2.711476970580119629e-07 1.013361948268035398e-02 5.494081697190844693e+01
3.000000000000000000e+00 -2.711476970580119629e-07 1.013361948268035398e-02 5.494081697190844693e+01
4.000000000000000000e+00 -2.711476970580119629e-07 1.013361948268035398e-02 5.494081697190844693e+01
5.000000000000000000e+00 -2.711476970580119629e-07 1.013361948268035398e-02 5.494081697190844693e+01
6.000000000000000000e+00 -2.711476970580119629e-07 1.013361948268035398e-02 5.494081697190844693e+01
7.000000000000000000e+00 -2.711476970580119629e-07 1.013361948268035398e-02 5.494081697190844693e+01
8.000000000000000000e+00 -2.711476970580119629e-07 1.013361948268035398e-02 5.494081697190844693e+01
9.000000000000000000e+00 -2.711476970580119629e-07 1.013361948268035398e-02 5.494081697190844693e+01
1.000000000000000000e+01 -2.711476970580119629e-07 1.013361948268035398e-02 5.494081697190844693e+01
1.100000000000000000e+01 -2.773982311907565026e-07 1.006403070035164805e-02 5.403688588966120676e+01
1.200000000000000000e+01 -2.836487653235010952e-07 9.994441918022942128e-03 5.313295480741396659e+01
1.300000000000000000e+01 -2.898992994562456349e-07 9.924853135694234468e-03 5.222902372516672642e+01
1.400000000000000000e+01 -2.961498335889902275e-07 9.855264353365528543e-03 5.132509264291948625e+01
1.500000000000000000e+01 -3.024003677217347672e-07 9.785675571036822618e-03 5.042116156067224608e+01
1.600000000000000000e+01 -3.086509018544793069e-07 9.716086788708116692e-03 4.951723047842500591e+01
1.700000000000000000e+01 -3.149014359872238995e-07 9.646498006379410767e-03 4.861329939617776574e+01
1.800000000000000000e+01 -3.211519701199684392e-07 9.576909224050703107e-03 4.770936831393052557e+01
1.900000000000000000e+01 -3.274025042527130319e-07 9.507320441721997181e-03 4.680543723168328540e+01
2.000000000000000000e+01 -3.336530383854575716e-07 9.437731659393291256e-03 4.590150614943604523e+01
2.100000000000000000e+01 -3.311786538153288902e-07 9.370193485019299648e-03 4.513808018776239805e+01
2.200000000000000000e+01 -3.287042692452001559e-07 9.302655310645309775e-03 4.437465422608875798e+01
2.300000000000000000e+01 -3.262298846750714745e-07 9.235117136271318167e-03 4.361122826441511080e+01
2.400000000000000000e+01 -3.237555001049427402e-07 9.167578961897328294e-03 4.284780230274147073e+01
2.500000000000000000e+01 -3.212811155348140589e-07 9.100040787523336686e-03 4.208437634106782355e+01
2.600000000000000000e+01 -3.188067309646853775e-07 9.032502613149345078e-03 4.132095037939417637e+01
2.700000000000000000e+01 -3.163323463945566432e-07 8.964964438775355204e-03 4.055752441772053629e+01
2.800000000000000000e+01 -3.138579618244279618e-07 8.897426264401363596e-03 3.979409845604688911e+01
2.900000000000000000e+01 -3.113835772542992275e-07 8.829888090027371988e-03 3.903067249437324193e+01
3.000000000000000000e+01 -3.089091926841705462e-07 8.762349915653382115e-03 3.826724653269960186e+01
3.100000000000000000e+01 -3.044721707763090937e-07 8.697237030880071093e-03 3.763579893906975826e+01
3.200000000000000000e+01 -3.000351488684476413e-07 8.632124146106760071e-03 3.700435134543991467e+01
3.300000000000000000e+01 -2.955981269605861889e-07 8.567011261333449049e-03 3.637290375181006397e+01
3.400000000000000000e+01 -2.911611050527247895e-07 8.501898376560138026e-03 3.574145615818022037e+01
3.500000000000000000e+01 -2.867240831448633371e-07 8.436785491786827004e-03 3.511000856455037678e+01
3.600000000000000000e+01 -2.822870612370018847e-07 8.371672607013517717e-03 3.447856097092053318e+01
3.700000000000000000e+01 -2.778500393291404852e-07 8.306559722240206695e-03 3.384711337729068958e+01
3.800000000000000000e+01 -2.734130174212790328e-07 8.241446837466895672e-03 3.321566578366084599e+01
3.900000000000000000e+01 -2.689759955134175804e-07 8.176333952693584650e-03 3.258421819003099529e+01
4.000000000000000000e+01 -2.645389736055561280e-07 8.111221067920273628e-03 3.195277059640115169e+01
4.100000000000000000e+01 -2.596531552289638406e-07 8.048630599731460000e-03 3.143930893419645045e+01
4.200000000000000000e+01 -2.547673368523715532e-07 7.986040131542646373e-03 3.092584727199175276e+01
4.300000000000000000e+01 -2.498815184757792658e-07 7.923449663353832745e-03 3.041238560978705507e+01
4.400000000000000000e+01 -2.449957000991869784e-07 7.860859195165019117e-03 2.989892394758235383e+01
4.500000000000000000e+01 -2.401098817225946909e-07 7.798268726976204622e-03 2.938546228537765614e+01
4.600000000000000000e+01 -2.352240633460024035e-07 7.735678258787390127e-03 2.887200062317295490e+01
4.700000000000000000e+01 -2.303382449694101161e-07 7.673087790598576499e-03 2.835853896096825366e+01
4.800000000000000000e+01 -2.254524265928178287e-07 7.610497322409762871e-03 2.784507729876355597e+01
4.900000000000000000e+01 -2.205666082162255413e-07 7.547906854220948376e-03 2.733161563655885473e+01
5.000000000000000000e+01 -2.156807898396332539e-07 7.485316386032134749e-03 2.681815397435415349e+01
5.100000000000000000e+01 -2.107915119694407213e-07 7.425248133177877324e-03 2.640898561594733707e+01
5.200000000000000000e+01 -2.059022340992481622e-07 7.365179880323619900e-03 2.599981725754052064e+01
5.300000000000000000e+01 -2.010129562290556031e-07 7.305111627469362476e-03 2.559064889913370067e+01
5.400000000000000000e+01 -1.961236783588630705e-07 7.245043374615105052e-03 2.518148054072688424e+01
5.500000000000000000e+01 -1.912344004886705114e-07 7.184975121760847627e-03 2.477231218232006427e+01
5.600000000000000000e+01 -1.863451226184779523e-07 7.124906868906590203e-03 2.436314382391324784e+01
